Whales,Year,Abundance
Orca98,1998,178
Orca99,1999,170
Orca00,2000,164
Orca01,2001,156
Orca02,2002,158
Orca03,2003,164
Orca04,2004,166
Orca05,2005,176
Orca06,2006,178
Orca07,2007,172
Orca08,2008,170
Orca09,2009,170
Orca10,2010,172
Orca11,2011,174
Orca12,2012,168
Orca13,2013,165
Orca14,2014,156
Orca15,2015,162
Orca16,2016,166
Orca17,2017,154
Orca18,2018,150
Orca19,2019,146
Orca20,2020,144
Orca21,2021,148
